#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
DEU,Germany,43606,"Internet users, total (% of population)",89.7391,2018
DEU,Germany,46006,Mobile phone subscriptions (per 100 people),129.324,2018
DEU,Germany,46106,Primary school dropout rate (% of primary school cohort),3.51825,2008-2018
DEU,Germany,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",12.30285,2010-2019
DEU,Germany,52306,Research and development expenditure (% of GDP),3.09415,2014-2018
DEU,Germany,52606,"Remittances, inflows (% of GDP)",0.4283853,2014-2019
DEU,Germany,53506,"Foreign direct investment, net inflows (% of GDP)",1.326473,2011-2019
DEU,Germany,57806,"Mortality rate, female adult (per 1,000 people)",48.026,2014-2018
DEU,Germany,57906,"Mortality rate, male adult (per 1,000 people)",86.511,2014-2018
DEU,Germany,61006,"Homicide rate (per 100,000 people)",0.947976619,2013-2018
DEU,Germany,63206,"Gross enrolment ratio, primary (% of primary school-age population)",104.02236,2014-2019
DEU,Germany,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",98.40928,2014-2019
DEU,Germany,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",70.24665,2014-2019
DEU,Germany,65606,Gross fixed capital formation (% of GDP),21.73057833,2014-2019
DEU,Germany,67106,"Income inequality, Gini coefficient",31.9,2010-2018
DEU,Germany,97106,Fresh water withdrawals (% of total renewable water resources),15.87,2007-2017
DEU,Germany,97306,Natural resource depletion (% of GNI),0.031374,2015-2018
DEU,Germany,98306,"Child malnutrition, stunting (moderate or severe) (% under age 5)",1.7,2010-2019
DEU,Germany,111106,International inbound tourists (thousands),38881,2011-2018
DEU,Germany,111306,Private capital flows (% of GDP),4.370625,2010-2019
DEU,Germany,123506,"Estimated gross national income per capita, female (2017 PPP $)",45277.16528,2019
DEU,Germany,123606,"Estimated gross national income per capita, male (2017 PPP $)",65599.45134,2019
DEU,Germany,123806,Old-age pension recipients (% of statutory pension age population),100,2014-2019
DEU,Germany,128106,Mandatory paid maternity leave (days),98,2019
DEU,Germany,128306,"Prison population (per 100,000 people)",79.1,2013-2018
DEU,Germany,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",109.1274,2014-2019
DEU,Germany,133206,Exports and imports (% of GDP),88.09866,2010-2019
DEU,Germany,135106,"Income inequality, quintile ratio",5.089744,2010-2017
DEU,Germany,136906,"Human Development Index (HDI), female",0.93271635,2019
DEU,Germany,137006,"Human Development Index (HDI), male",0.959702732,2019
DEU,Germany,137906,Gender Development Index (GDI),0.971880477,2019
DEU,Germany,147206,International student mobility (% of total tertiary enrolment),4.42081,2010-2017
DEU,Germany,149206,Government expenditure on education (% of GDP),4.80093,2013-2018
DEU,Germany,164206,"Forest area, change (%)",1.004256836,1990/2016
DEU,Germany,164406,Adjusted net savings (% of GNI),14.43843,2015-2018
DEU,Germany,167106,"Population living below income poverty line, PPP $1.90 a day (%)",0,2008-2018
DEU,Germany,167406,"Violence against women ever experienced, intimate partner (% of female population ages 15 and older)",22,2005-2019
DEU,Germany,167506,"Violence against women ever experienced, nonintimate partner (% of female population ages 15 and older)",7,2005-2019
DEU,Germany,174306,Fossil fuel energy consumption (% of total energy consumption),78.86255,2013-2015
DEU,Germany,175006,Female share of employment in senior and middle management (%),28.59,2009-2019
DEU,Germany,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",80.3,2009-2019
DEU,Germany,175906,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, female (%)",19.16309,2009-2019
DEU,Germany,178106,"Internet users, female (% of female population)",84.1628,2018
DEU,Germany,178306,Gross capital formation (% of GDP),21.55149,2015-2019
DEU,Germany,179406,Skilled labour force (% of labour force),87.3212,2010-2019
DEU,Germany,179706,Ratio of education and health expenditure to military expenditure,13.38897,2010-2017
DEU,Germany,180706,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, male (%)",52.69791,2009-2019
DEU,Germany,181106,Birth registration (% under age 5),100,2009-2019
